"species_id","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002"
"AB",NA,NA,NA,5,7,34,41,12,14,5,35,39,31,27,15,10,9,7,4,NA,NA,2,NA,3,1,2
"AH",NA,1,NA,NA,NA,1,2,2,14,19,41,26,30,22,21,16,15,19,36,25,37,33,14,12,23,28
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,26,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CB",NA,NA,NA,1,1,NA,3,1,1,4,5,6,1,NA,2,7,5,1,2,NA,3,4,NA,NA,3,NA
"CM",NA,NA,NA,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CQ",NA,NA,NA,2,4,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"CU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DM",264,389,209,493,559,609,528,396,667,406,469,365,321,462,404,307,253,293,436,492,576,503,348,233,305,309
"DO",12,22,31,89,123,117,167,108,225,115,213,144,119,171,122,94,29,25,58,174,253,111,84,91,81,249
"DS",98,320,204,346,354,354,280,76,98,88,104,54,33,17,11,18,18,9,NA,NA,6,9,7,NA,NA,NA
"DX",NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,4,12,3,2,3,1,NA,2,3,4,1,1
"NL",31,48,30,57,63,111,98,64,45,60,128,102,67,29,30,15,24,10,8,7,48,32,20,29,48,48
"OL",10,47,46,85,55,83,65,71,94,43,79,51,57,25,36,45,35,21,29,13,8,NA,NA,NA,NA,8
"OT",17,66,68,96,65,94,86,49,62,25,43,86,102,77,107,42,22,21,38,108,258,164,105,154,167,127
"OX",7,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,39,259,329,272,555,538,892
"PC",NA,NA,NA,NA,NA,2,3,NA,NA,NA,5,NA,1,8,6,9,1,1,1,1,NA,1,NA,NA,NA,NA
"PE",6,17,17,20,43,107,38,20,51,26,142,190,177,75,65,41,13,3,14,36,57,24,7,15,35,60
"PF",31,40,19,95,59,152,114,7,1,2,4,2,13,51,62,57,70,73,158,330,186,26,NA,NA,27,18
"PG",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"PH",NA,NA,NA,NA,NA,NA,NA,7,3,1,NA,1,2,7,NA,7,NA,NA,3,NA,1,NA,NA,NA,NA,NA
"PI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,5
"PL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,19,7,NA,1,NA,NA
"PM",NA,3,6,1,16,72,42,12,17,34,133,54,27,NA,NA,NA,NA,NA,8,50,271,103,44,2,3,1
"PP",7,24,20,17,20,32,32,26,35,26,45,53,45,34,88,131,100,74,277,298,325,208,167,381,273,385
"PU",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"PX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,NA,NA
"RF",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,11,49,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"RM",2,3,6,46,29,154,127,60,72,53,189,211,398,231,307,158,103,40,81,90,158,13,28,15,15,20
"RO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"SA",NA,2,NA,NA,11,17,10,20,3,1,1,1,3,NA,2,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA
"SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,7
"SH",1,1,NA,NA,NA,2,2,NA,NA,1,5,31,55,9,1,NA,NA,NA,NA,NA,7,NA,2,8,11,11
"SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,20,6,3,NA,NA,3,NA,NA,NA,NA,NA
"SS",1,8,2,9,8,12,12,15,14,12,20,20,18,5,2,7,1,7,7,16,12,15,7,4,5,9
"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA
"UL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"UP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,1
"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"ZL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
